Year,Energy_Source,Net_Generation_MWh
2013,Wind,167840.0
2014,Wind,181655.0
2015,Wind,190719.0
2016,Wind,226993.0
2017,Wind,254303.0
2018,Wind,272667.0
2019,Wind,295882.0
2020,Wind,337938.0
2021,Wind,378197.0
2022,Wind,434297.0
2023,Wind,421141.0
2013,"Solar
Photovoltaic",8121.0
2014,"Solar
Photovoltaic",15250.0
2015,"Solar
Photovoltaic",21666.0
2016,"Solar
Photovoltaic",32670.0
2017,"Solar
Photovoltaic",50018.0
2018,"Solar
Photovoltaic",60234.0
2019,"Solar
Photovoltaic",68719.0
2020,"Solar
Photovoltaic",86066.0
2021,"Solar
Photovoltaic",112335.0
2022,"Solar
Photovoltaic",140793.0
2023,"Solar
Photovoltaic",162683.0
2013,"Solar
Thermal",915.0
2014,"Solar
Thermal",2441.0
2015,"Solar
Thermal",3227.0
2016,"Solar
Thermal",3384.0
2017,"Solar
Thermal",3269.0
2018,"Solar
Thermal",3592.0
2019,"Solar
Thermal",3218.0
2020,"Solar
Thermal",3133.0
2021,"Solar
Thermal",2924.0
2022,"Solar
Thermal",2999.0
2023,"Solar
Thermal",2847.0
2013,"Wood and
Wood-Derived
Fuels",40028.0
2014,"Wood and
Wood-Derived
Fuels",42340.0
2015,"Wood and
Wood-Derived
Fuels",41929.0
2016,"Wood and
Wood-Derived
Fuels",40947.0
2017,"Wood and
Wood-Derived
Fuels",41124.0
2018,"Wood and
Wood-Derived
Fuels",40936.0
2019,"Wood and
Wood-Derived
Fuels",38543.0
2020,"Wood and
Wood-Derived
Fuels",36219.0
2021,"Wood and
Wood-Derived
Fuels",36463.0
2022,"Wood and
Wood-Derived
Fuels",35466.0
2023,"Wood and
Wood-Derived
Fuels",31615.0
2013,"Landfill
Gas",10658.0
2014,"Landfill
Gas",11220.0
2015,"Landfill
Gas",11291.0
2016,"Landfill
Gas",11218.0
2017,"Landfill
Gas",11543.0
2018,"Landfill
Gas",11036.0
2019,"Landfill
Gas",10468.0
2020,"Landfill
Gas",10212.0
2021,"Landfill
Gas",9421.0
2022,"Landfill
Gas",8535.0
2023,"Landfill
Gas",7935.0
2013,"Biogenic
Municipal
Solid Waste",7186.0
2014,"Biogenic
Municipal
Solid Waste",7228.0
2015,"Biogenic
Municipal
Solid Waste",7211.0
2016,"Biogenic
Municipal
Solid Waste",7265.0
2017,"Biogenic
Municipal
Solid Waste",6951.0
2018,"Biogenic
Municipal
Solid Waste",7136.0
2019,"Biogenic
Municipal
Solid Waste",6093.0
2020,"Biogenic
Municipal
Solid Waste",6080.0
2021,"Biogenic
Municipal
Solid Waste",6101.0
2022,"Biogenic
Municipal
Solid Waste",5776.0
2023,"Biogenic
Municipal
Solid Waste",5568.0
2013,Other Waste Biomass,2986.0
2014,Other Waste Biomass,3202.0
2015,Other Waste Biomass,3201.0
2016,Other Waste Biomass,3331.0
2017,Other Waste Biomass,3115.0
2018,Other Waste Biomass,2724.0
2019,Other Waste Biomass,2402.0
2020,Other Waste Biomass,2201.0
2021,Other Waste Biomass,2267.0
2022,Other Waste Biomass,2073.0
2023,Other Waste Biomass,2082.0
2013,Geothermal,15775.0
2014,Geothermal,15877.0
2015,Geothermal,15918.0
2016,Geothermal,15826.0
2017,Geothermal,15927.0
2018,Geothermal,15967.0
2019,Geothermal,15473.0
2020,Geothermal,15890.0
2021,Geothermal,15975.0
2022,Geothermal,16087.0
2023,Geothermal,16367.0
2013,"Conventional
Hydroelectric",268565.0
2014,"Conventional
Hydroelectric",259367.0
2015,"Conventional
Hydroelectric",249080.0
2016,"Conventional
Hydroelectric",267812.0
2017,"Conventional
Hydroelectric",300333.0
2018,"Conventional
Hydroelectric",292524.0
2019,"Conventional
Hydroelectric",287874.0
2020,"Conventional
Hydroelectric",285274.0
2021,"Conventional
Hydroelectric",251585.0
2022,"Conventional
Hydroelectric",254789.0
2023,"Conventional
Hydroelectric",245002.0
2013,Total Renewable Generation at Utility Scale Facilities,522073.0
2014,Total Renewable Generation at Utility Scale Facilities,538579.0
2015,Total Renewable Generation at Utility Scale Facilities,544241.0
2016,Total Renewable Generation at Utility Scale Facilities,609445.0
2017,Total Renewable Generation at Utility Scale Facilities,686583.0
2018,Total Renewable Generation at Utility Scale Facilities,706816.0
2019,Total Renewable Generation at Utility Scale Facilities,728673.0
2020,Total Renewable Generation at Utility Scale Facilities,783012.0
2021,Total Renewable Generation at Utility Scale Facilities,815267.0
2022,Total Renewable Generation at Utility Scale Facilities,900814.0
2023,Total Renewable Generation at Utility Scale Facilities,895241.0
2013,Estimated Solar Photovoltaic,
2014,Estimated Solar Photovoltaic,11233.0
2015,Estimated Solar Photovoltaic,14139.0
2016,Estimated Solar Photovoltaic,18812.0
2017,Estimated Solar Photovoltaic,23990.0
2018,Estimated Solar Photovoltaic,29539.0
2019,Estimated Solar Photovoltaic,34957.0
2020,Estimated Solar Photovoltaic,41522.0
2021,Estimated Solar Photovoltaic,49164.0
2022,Estimated Solar Photovoltaic,61282.0
2023,Estimated Solar Photovoltaic,73406.0
2013,Estimated Total Solar Photovoltaic,
2014,Estimated Total Solar Photovoltaic,26482.0
2015,Estimated Total Solar Photovoltaic,35805.0
2016,Estimated Total Solar Photovoltaic,51483.0
2017,Estimated Total Solar Photovoltaic,74008.0
2018,Estimated Total Solar Photovoltaic,89773.0
2019,Estimated Total Solar Photovoltaic,103676.0
2020,Estimated Total Solar Photovoltaic,127588.0
2021,Estimated Total Solar Photovoltaic,161499.0
2022,Estimated Total Solar Photovoltaic,202075.0
2023,Estimated Total Solar Photovoltaic,236090.0
2013,Estimated Total Solar,
2014,Estimated Total Solar,28924.0
2015,Estimated Total Solar,39032.0
2016,Estimated Total Solar,54866.0
2017,Estimated Total Solar,77277.0
2018,Estimated Total Solar,93365.0
2019,Estimated Total Solar,106894.0
2020,Estimated Total Solar,130721.0
2021,Estimated Total Solar,164422.0
2022,Estimated Total Solar,205074.0
2023,Estimated Total Solar,238937.0
2013,Coal,1188452.0
2014,Coal,1173073.0
2015,Coal,998385.0
2016,Coal,922399.0
2017,Coal,893639.0
2018,Coal,863505.0
2019,Coal,722885.0
2020,Coal,582374.0
2021,Coal,674804.0
2022,Coal,621853.0
2023,Coal,518330.0
2013,"Petroleum
Liquids",9446.0
2014,"Petroleum
Liquids",10696.0
2015,"Petroleum
Liquids",10386.0
2016,"Petroleum
Liquids",9069.0
2017,"Petroleum
Liquids",8567.0
2018,"Petroleum
Liquids",10108.0
2019,"Petroleum
Liquids",8313.0
2020,"Petroleum
Liquids",7182.0
2021,"Petroleum
Liquids",8791.0
2022,"Petroleum
Liquids",9356.0
2023,"Petroleum
Liquids",8254.0
2013,"Petroleum
Coke",9522.0
2014,"Petroleum
Coke",9147.0
2015,"Petroleum
Coke",8278.0
2016,"Petroleum
Coke",8881.0
2017,"Petroleum
Coke",6711.0
2018,"Petroleum
Coke",6817.0
2019,"Petroleum
Coke",5112.0
2020,"Petroleum
Coke",5663.0
2021,"Petroleum
Coke",5728.0
2022,"Petroleum
Coke",5383.0
2023,"Petroleum
Coke",3146.0
2013,"Natural
Gas",501427.0
2014,"Natural
Gas",501440.0
2015,"Natural
Gas",619003.0
2016,"Natural
Gas",655744.0
2017,"Natural
Gas",625094.0
2018,"Natural
Gas",722916.0
2019,"Natural
Gas",787745.0
2020,"Natural
Gas",815414.0
2021,"Natural
Gas",777057.0
2022,"Natural
Gas",832421.0
2023,"Natural
Gas",895910.0
2013,"Other
Fossil
Gas",798.0
2014,"Other
Fossil
Gas",112.0
2015,"Other
Fossil
Gas",199.0
2016,"Other
Fossil
Gas",154.0
